frame_number,car_id,license_plate
1,1,
1,2,
2,1,
2,2,
3,1,
3,2,
4,1,
4,2,
5,1,
5,2,
6,1,
6,2,
7,1,
7,2,
8,1,
8,2,
9,2,
9,1,
9,6,
10,1,
10,2,
10,6,
11,1,
11,2,
11,6,
12,1,
12,2,
12,6,
13,1,
13,6,
14,1,
14,6,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
6,6,
7,2,
7,1,
8,2,
8,1,
8,6,
9,2,
9,1,
9,6,
10,2,
10,1,
10,6,
11,2,
11,1,
11,6,
12,2,
12,1,
12,6,
13,2,
13,6,
14,2,
14,6,
14,3,
15,2,
15,6,
15,3,
16,2,
16,6,
16,3,
17,2,
17,1,
17,6,
17,3,
18,2,
18,6,
19,2,
19,6,
20,2,
20,6,
21,2,
21,6,
22,2,
23,2,
24,2,
24,6,
25,2,
25,6,
26,2,
26,6,
27,2,
27,6,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
7,2,
7,1,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
5,2,
5,1,
6,2,
6,1,
7,2,
7,1,
8,2,
8,1,
9,2,
9,1,
10,2,
10,1,
11,2,
11,1,
11,3,
12,2,
12,1,
12,3,
13,2,
13,3,
14,2,
14,3,
15,2,
15,3,
16,2,
17,2,
18,2,
18,6,
19,2,
19,3,
19,6,
20,2,
20,6,
21,2,
21,6,
22,2,
22,6,
23,2,
23,6,
23,3,
24,2,
24,6,
24,3,
25,2,
25,6,
25,3,
26,2,
26,6,
27,2,
27,6,
28,2,
28,6,
29,2,
29,6,
29,3,
30,2,
30,6,
31,2,
31,6,
32,2,
32,6,
33,2,
33,6,
34,2,
34,6,
35,2,
35,6,
36,2,
36,6,
37,2,
37,6,
38,2,
38,6,
39,2,
39,6,
40,2,
40,6,
41,2,
41,6,
42,2,
42,6,
43,2,
43,6,
1,1,
1,2,
2,1,
2,2,
3,1,
3,2,
4,1,
4,2,
1,2,
1,1,
2,2,
2,1,
3,2,
3,1,
4,2,
4,1,
1,1,LU06153
1,2,RJC4F16
2,1,LU06153
2,2,RJC4F16
3,2,RJC4F16
3,1,LU06153
4,1,LU06153
4,2,RJC4F16
5,1,LU06153
5,2,RJC4F16
6,1,LU06153
6,2,RJC4F16
7,1,LU06153
7,2,RJC4F16
8,1,LU06153
8,2,RJC4F16
9,1,LU06153
9,2,RJC4F16
10,1,LUQ6153
10,2,RJC4F16
11,1,LUQ6153
11,2,RJC4F16
1,2,LU06153
1,1,RJC4F16
2,2,LU06153
2,1,RJC4F16
3,2,LU06153
3,1,RJC4F16
4,2,LU06153
4,1,RJC4F16
5,2,LU06153
5,1,RJC4F16
6,2,LU06153
6,1,RJC4F16
7,2,LU06153
7,1,RJC4F16
8,2,LU06153
8,1,RJC4F16
9,2,LU06153
9,1,RJC4F16
10,2,LU06153
10,1,RJC4F16
11,2,LU06153
11,1,RJC4F16
12,2,LU06153
12,1,RJC4F16
13,2,LU06153
14,2,LU06153
15,2,LU06153
16,2,LU06153
17,2,LU06153
18,2,LU06153
19,2,LU06153
20,2,LU06153
21,2,LU06153
22,2,LU06153
23,2,LU06153
24,2,LU06153
25,2,LU06153
26,2,LU06153
27,2,LU06153
28,2,LU06153
29,2,LU06153
29,7,X-554
30,2,LU06153
30,7,X-554
31,2,LU06153
31,7,X-554
32,2,LU06153
32,7,X-554
33,2,LU06153
33,7,X-554
34,2,LU06153
34,7,X-554
35,2,LU06153
35,7,X-554
36,2,LU06153
36,7,X-554
37,2,LU06153
37,7,X-554
38,2,LU06153
38,7,X-554
39,2,LU06153
39,7,X-554
40,2,LU06153
40,7,X-554
41,2,LU06153
41,7,X-554
42,2,LU06153
42,7,X-554
43,2,LU06153
43,7,X-554
44,2,LU06153
44,7,X-554
45,2,LU06153
45,7,X-554
46,2,LU06153
46,7,X-554
47,2,LU06153
47,7,X-554
48,2,LU06153
48,7,X-554
49,2,LU06153
49,7,X-554
50,2,LU06153
50,7,X-554
51,2,LU06153
51,7,X-554
52,2,LU06153
52,7,X-554
53,2,LU06153
53,7,X-554
54,7,X-554
55,7,X-554
56,7,X-554
57,7,X-554
58,7,X-554
59,7,X-554
60,7,X-554
61,7,X-554
62,7,X-554
63,7,X-554
64,7,X-554
65,7,X-554
66,7,X-554
67,7,X-554
68,7,X-554
69,7,X-554
70,7,X-554
71,7,X-554
72,7,X-554
73,7,X-554
74,7,X-554
75,7,X-554
76,7,X-554
77,7,X-554
78,7,X-554
79,7,X-554
80,7,X-554
81,7,X-554
82,7,X-554
83,7,X-554
84,7,1-554
85,7,1-554
86,7,1-554
87,7,1-554
88,7,1-554
89,7,1-554
90,7,1-554
2,2,LU06153
2,1,RJC4F16
4,2,LU06153
4,1,RJC4F16
6,2,LU06153
6,1,RJC4F16
8,2,LU06153
8,1,RJE4F36
10,2,LU06153
10,1,RJE4F36
12,2,LU06153
12,1,RJE4F36
14,2,LU06153
16,1,RJC4F3
16,2,LU06153
18,2,LU06153
20,2,LU06153
22,2,LU06153
24,2,LU06153
26,2,LU06153
28,2,LU06153
30,2,LU06153
32,2,LU06153
34,2,LU06153
36,2,LU06153
38,2,LU06153
40,2,LU06153
42,2,LU06153
44,2,LU06153
46,2,LU06153
48,2,LU06153
50,2,LU06153
52,2,LU06153
68,5,KPX-554
70,5,KPX-554
72,5,KPX-554
74,5,KPX-554
76,5,KPX-554
78,5,KPX-554
80,5,KPX-5545
82,5,KPX-5545
84,5,KPX-5545
86,5,KPX-5545
88,5,KPX-5545
90,5,KPX-5545
92,5,KPX-5545
94,5,KPX-5545
96,5,KPX-5545
98,5,KPX-5545
100,5,KPX-5545
102,5,KPX-5545
104,5,KPX-5545
106,5,KPX-5545
108,5,KPX-5545
110,5,KPX-5545
112,5,KPX-5545
114,5,KPX-5545
116,5,KPX-5545
118,5,KPX-5545
120,5,KPX-5545
122,5,KPX-5545
124,5,KPX-5545
126,5,KPX-5545
128,5,KPX-5545
130,5,KPX-5545
132,5,KPX-5545
134,5,KPX-5545
136,5,KPX-5545
138,5,KPX-5545
140,5,KPX-5545
142,5,KPX-5545
144,5,KPX-5545
146,5,KPX-5545
148,5,KPX-5545
150,5,KPX-5545
152,5,KPX-5545
152,15,4020
154,5,KPX-5545
154,15,4020
156,5,KPX-5545
156,15,4020
158,15,4020
158,5,KPX-5545
160,5,KPX-5545
160,15,4020
162,5,KPX-5545
162,15,4020
164,5,KPX-5545
164,15,4020
166,5,KPX-5545
166,15,4020
168,5,KPX-5545
168,15,4020
170,5,KPX-5545
170,15,4020
172,15,4020
172,5,KPX-5545
174,15,4020
174,5,KPX-5545
176,15,4020
176,5,KPX-5545
178,15,4020
178,5,KPX-5545
178,4,KYG
180,15,4020
180,5,KPX-5545
182,15,4020
182,5,KPX-5545
184,15,4020
184,5,KPX-5545
186,15,4020
186,5,KPX-5545
188,15,4020
188,5,KPX-5545
190,15,4020
190,5,KPX-5545
192,5,KPX-5545
192,15,4020
194,5,KPX-5545
194,15,4020
196,15,4020
196,5,KPX-5545
198,15,4020
198,5,KPX-5545
200,15,4020
200,5,KPX-5545
202,5,KPX-5545
202,15,4020
204,15,4020
204,5,KPX-5545
206,15,4020
206,5,KPX-5545
208,5,KPX-5545
208,15,4020
210,15,4020
210,5,KPX-5545
212,5,KPX-5545
212,15,4020
214,5,KPX-5545
214,15,4020
216,5,KPX-5545
216,15,4020
218,5,KPX-5545
218,15,4020
220,5,KPX-5545
220,15,4020
222,5,KPX-5545
222,15,4020
224,5,KPX-5545
224,15,4020
226,5,KPX-5545
226,15,4020
228,5,KPX-5545
228,15,4020
230,15,4020
230,5,KPX-5545
232,5,KPX-5545
232,15,4020
234,5,KPX-5545
234,15,4020
236,5,KPX-5545
236,15,4020
238,5,KPX-5545
238,15,4020
240,5,KPX-5545
240,15,4020
242,5,KPX-5549
242,15,4020
244,15,4020
244,5,KPX-5549
246,5,KPX-5549
246,15,4020
248,5,KPX-5549
248,15,4020
250,15,4020
250,5,KPX-5549
252,5,KPX-5549
252,15,4020
254,5,KPX-5549
254,15,4020
256,5,KPX-5549
256,15,4020
258,5,KPX-5549
258,15,4020
260,5,KPX-5549
260,15,4020
262,15,4020
262,5,KPX-5549
264,15,4020
264,5,KPX-5549
266,15,4020
266,5,KPX-5549
268,15,4020
268,5,KPX-5549
270,15,4020
270,5,KPX-5549
272,15,4020
272,5,KPX-5549
274,15,4020
274,5,KPX-5549
276,15,4020
276,5,KPX-5549
278,5,KPX-5549
278,15,4020
280,5,KPX-5549
280,15,4020
282,5,KPX-5549
282,15,4020
284,15,4020
284,5,KPX-5549
286,15,4020
286,5,KPX-5549
288,5,KPX-5549
288,15,4020
290,5,KPX-5549
290,15,4020
292,5,KPX-5549
292,15,4020
294,15,4020
294,5,KPX-5549
296,15,4020
296,5,KPX-5549
298,15,4020
298,5,KPX-5549
300,5,KPX-5549
300,15,4020
302,5,KPX-5549
302,15,4020
304,5,KPX-5549
304,15,4020
306,5,KPX-5549
306,15,4020
308,5,KPX-5549
308,15,4020
310,5,KPX-5549
310,15,4020
312,15,4020
312,5,KPX-5549
314,15,4020
314,5,KPX-5549
316,5,KPX-5549
316,15,4020
318,15,4020
318,5,KPX-5549
320,15,4020
320,5,KPX-5549
322,5,KPX-5549
322,15,4020
324,5,KPX-5549
324,15,4020
326,15,4020
326,5,KPX-5549
328,15,4020
328,5,KPX-5549
330,15,4020
330,5,KPX-5549
332,30,SRA9E4L
332,5,KPX-5549
332,15,4020
334,15,4020
334,30,SRA9E4L
334,5,KPX-5549
336,15,4020
336,5,KPX-5549
336,30,SRA9E4L
338,5,KPX-5549
338,30,SRA9E44
338,15,4020
340,15,4020
340,5,KPX-5549
340,30,SRA9E44
342,5,KPX-5549
342,30,SRA9E44
342,15,4020
344,5,KPX-5549
344,15,4020
344,30,SRA9E44
346,15,4020
346,5,KPX-5549
346,30,SRA9E44
348,5,KPX-5549
348,30,SRA9E44
348,15,4020
350,5,KPX-5549
350,30,SRA9E44
350,15,4020
352,5,KPX-5549
352,30,SRA9E44
354,5,KPX-5549
354,30,SRA9E44
356,30,SRA9E44
356,5,KPX-5549
358,5,KPX-5549
358,30,SRA9E44
360,5,KPX-5549
360,30,SRA9E44
360,15,4020
362,5,KPX-5549
362,30,SRA9E44
362,15,4020
364,5,KPX-5549
364,30,SRA9E44
366,5,KPX-5549
366,30,SRA9E44
368,5,KPX-5549
368,30,SRA9E4L
370,5,KPX-5549
370,30,SRA9E4L
372,5,KPX-5549
372,30,SRA9E4L
2,1,RJC4F16
2,2,LUG6153
4,2,LUG6153
4,1,RJC4F16
6,1,RJC4F16
6,2,LUG6153
8,2,LUG6153
8,1,RJC4F16
10,2,LUG6153
10,1,RJC4F16
12,2,LUG6153
12,1,RJC4F16
14,2,LU06153
16,2,LU06153
18,2,LU06153
20,2,LU06153
22,2,LU06153
24,2,LU06153
24,1,RJC4F16
26,2,LU06153
28,2,LU06153
30,2,LU06153
32,2,LU06153
34,2,LU06153
36,2,LU06153
38,2,LU06153
40,2,LU06153
42,2,LU06153
44,2,LU06153
46,2,LU06153
48,2,LU06153
50,2,LU06153
52,2,LU06153
70,5,KPX-5545
72,5,KPX-5545
74,5,KPX-5545
76,5,KPX-5545
78,5,KPX-5545
80,5,KPX-5545
82,5,KPX-5545
84,5,KPX-5545
86,5,KPX-5545
88,5,KPX-5545
90,5,KPX-5545
92,5,KPX-5545
94,5,KPX-5545
96,5,KPX-5545
98,5,KPX-5545
100,5,KPX-5545
102,5,KPX-5545
104,5,KPX-5545
106,5,KPX-5545
108,5,KPX-5545
110,5,KPX-5545
112,5,KPX-5545
114,5,KPX-5545
116,5,KPX-5545
118,5,KPX-5545
120,5,KPX-5545
122,5,KPX-5545
124,5,KPX-5545
126,5,KPX-5545
128,5,KPX-5545
130,5,KPX-5545
132,5,KPX-5545
134,5,KPX-5545
136,5,KPX-5549
138,5,KPX-5549
140,5,KPX-5549
142,5,KPX-5549
144,5,KPX-5549
146,5,KPX-5549
148,5,KPX-5549
150,5,KPX-5549
152,5,KPX-5549
152,17,4020
154,5,KPX-5549
154,17,4020
156,5,KPX-5549
156,17,4020
158,5,KPX-5549
158,17,4020
160,5,KPX-5549
160,17,4020
162,5,KPX-5549
162,17,4020
164,5,KPX-5549
164,17,4020
166,5,KPX-5549
166,17,4020
168,5,KPX-5549
168,17,4020
170,5,KPX-5549
170,17,4020
172,17,4020
172,5,KPX-5549
174,17,4020
174,5,KPX-5549
176,17,4020
176,5,KPX-5549
178,17,4020
178,5,KPX-5549
178,4,KYG
180,17,4020
180,5,KPX-5549
182,17,4020
182,5,KPX-5549
184,17,4020
184,5,KPX-5549
186,17,4020
186,5,KPX-5549
188,17,4020
188,5,KPX-5549
190,17,4020
